Tube_code	individual	species	Population	latitude	longitude	type	Sex	Sample_type	time_point	Tube_type
AD54	LI1_2nd_5	Podarcis_liolepis	Hot_dry	42.67034	-2.0269	Hot_control	Male	Faeces	3_Transplant1	Lizards_Hologenomics
AD48_a	LI1_2nd_6	Podarcis_liolepis	Hot_dry	42.67034	-2.0269	Hot_control	Male	Faeces	3_Transplant1	Lizards_Hologenomics
AD49_a	LI1_2nd_7	Podarcis_liolepis	Hot_dry	42.67034	-2.0269	Hot_control	Male	Faeces	3_Transplant1	Lizards_Hologenomics
AD52_a	LI1_2nd_8	Podarcis_liolepis	Hot_dry	42.67034	-2.0269	Hot_control	Male	Faeces	3_Transplant1	Lizards_Hologenomics
AD51_a	LI1_2nd_9	Podarcis_liolepis	Hot_dry	42.67034	-2.0269	Hot_control	Male	Faeces	3_Transplant1	Lizards_Hologenomics
AD53_a	LI1_2nd_10	Podarcis_liolepis	Hot_dry	42.67034	-2.0269	Hot_control	Male	Faeces	3_Transplant1	Lizards_Hologenomics
AD55	AH1_2nd_1	Podarcis_muralis	Cold_wet	43.31323	-1.75101	Control	Male	Faeces	4_Transplant2	Lizards_Hologenomics
AD65	AH1_2nd_5	Podarcis_muralis	Cold_wet	43.31323	-1.75101	Treatment	Male	Faeces	4_Transplant2	Lizards_Hologenomics
AD66	AH1_2nd_6	Podarcis_muralis	Cold_wet	43.31323	-1.75101	Treatment	Male	Faeces	4_Transplant2	Lizards_Hologenomics
AD56	AH1_2nd_7	Podarcis_muralis	Cold_wet	43.31323	-1.75101	Control	Male	Faeces	4_Transplant2	Lizards_Hologenomics
AD57	AH1_2nd_9	Podarcis_muralis	Cold_wet	43.31323	-1.75101	Control	Male	Faeces	4_Transplant2	Lizards_Hologenomics
AD68	AH1_2nd_10	Podarcis_muralis	Cold_wet	43.31323	-1.75101	Treatment	Male	Faeces	4_Transplant2	Lizards_Hologenomics
AD58	AH1_2nd_12	Podarcis_muralis	Cold_wet	43.31323	-1.75101	Control	Male	Faeces	4_Transplant2	Lizards_Hologenomics
AD70	AH1_2nd_20	Podarcis_muralis	Cold_wet	43.31323	-1.75101	Treatment	Male	Faeces	4_Transplant2	Lizards_Hologenomics
AD71	AH1_2nd_13	Podarcis_muralis	Cold_wet	43.31323	-1.75101	Treatment	Male	Faeces	4_Transplant2	Lizards_Hologenomics
AD59	AH1_2nd_14	Podarcis_muralis	Cold_wet	43.31323	-1.75101	Control	Male	Faeces	4_Transplant2	Lizards_Hologenomics
AD60	AH1_2nd_15	Podarcis_muralis	Cold_wet	43.31323	-1.75101	Control	Male	Faeces	4_Transplant2	Lizards_Hologenomics
AD72	AH1_2nd_16	Podarcis_muralis	Cold_wet	43.31323	-1.75101	Treatment	Male	Faeces	4_Transplant2	Lizards_Hologenomics
AD61	AH1_2nd_17	Podarcis_muralis	Cold_wet	43.31323	-1.75101	Control	Male	Faeces	4_Transplant2	Lizards_Hologenomics
AD62	AH1_2nd_18	Podarcis_muralis	Cold_wet	43.31323	-1.75101	Control	Male	Faeces	4_Transplant2	Lizards_Hologenomics
AD63	AH1_2nd_19	Podarcis_muralis	Cold_wet	43.31323	-1.75101	Control	Male	Faeces	4_Transplant2	Lizards_Hologenomics
AD66_a	LI1_2nd_1	Podarcis_liolepis	Hot_dry	42.67034	-2.0269	Hot_control	Male	Faeces	4_Transplant2	Lizards_Hologenomics
AD65_a	LI1_2nd_4	Podarcis_liolepis	Hot_dry	42.67034	-2.0269	Hot_control	Male	Faeces	4_Transplant2	Lizards_Hologenomics
AD73	LI1_2nd_5	Podarcis_liolepis	Hot_dry	42.67034	-2.0269	Hot_control	Male	Faeces	4_Transplant2	Lizards_Hologenomics
AD68_a	LI1_2nd_7	Podarcis_liolepis	Hot_dry	42.67034	-2.0269	Hot_control	Male	Faeces	4_Transplant2	Lizards_Hologenomics
AD71_a	LI1_2nd_8	Podarcis_liolepis	Hot_dry	42.67034	-2.0269	Hot_control	Male	Faeces	4_Transplant2	Lizards_Hologenomics
AD70_a	LI1_2nd_9	Podarcis_liolepis	Hot_dry	42.67034	-2.0269	Hot_control	Male	Faeces	4_Transplant2	Lizards_Hologenomics
AD72_a	LI1_2nd_10	Podarcis_liolepis	Hot_dry	42.67034	-2.0269	Hot_control	Male	Faeces	4_Transplant2	Lizards_Hologenomics
AD81	AH1_2nd_1	Podarcis_muralis	Cold_wet	43.31323	-1.75101	Control	Male	Faeces	5_Post-FMT1	Lizards_Hologenomics
AD83	AH1_2nd_2	Podarcis_muralis	Cold_wet	43.31323	-1.75101	Treatment	Male	Faeces	5_Post-FMT1	Lizards_Hologenomics
AD78	AH1_2nd_5	Podarcis_muralis	Cold_wet	43.31323	-1.75101	Treatment	Male	Faeces	5_Post-FMT1	Lizards_Hologenomics
AD75	AH1_2nd_6	Podarcis_muralis	Cold_wet	43.31323	-1.75101	Treatment	Male	Faeces	5_Post-FMT1	Lizards_Hologenomics
