Sample	percent_duplicates	percent_gc	avg_sequence_length	median_sequence_length	percent_fails	total_sequences
AD22_EKDL240003470-1A_22JVFTLT3_L1.lib1_1	16.267170083983345	42.0	150.0	150	18.181818181818183	8414342.0
AD22_EKDL240003470-1A_22JVFTLT3_L1.lib1_2	17.56229556408104	42.0	150.0	150	27.27272727272727	8414342.0
AD23_EKDL230051108-1A_22FN5HLT3_L1.lib1_1	88.67793037625172	50.0	150.0	150	36.36363636363637	15078446.0
AD23_EKDL230051108-1A_22FN5HLT3_L1.lib1_2	88.66927651413137	51.0	150.0	150	45.45454545454545	15078446.0
AD24_EKDL240003470-1A_223JWCLT4_L2.lib2_1	9.924692776594043	41.0	150.0	150	18.181818181818183	783243.0
AD24_EKDL240003470-1A_223JWCLT4_L2.lib2_2	10.744805478402398	41.0	150.0	150	18.181818181818183	783243.0
AD24_EKDL240003470-1A_22JVFTLT3_L1.lib1_1	20.720465686299377	42.0	150.0	150	18.181818181818183	11966658.0
AD24_EKDL240003470-1A_22JVFTLT3_L1.lib1_2	21.511007532518732	42.0	150.0	150	18.181818181818183	11966658.0
AD25_EKDL230051108-1A_22FN5HLT3_L1.lib1_1	21.733912245402237	45.0	150.0	150	27.27272727272727	28329.0
AD25_EKDL230051108-1A_22FN5HLT3_L1.lib1_2	22.090437361008156	45.0	150.0	150	36.36363636363637	28329.0
AD26_EKDL240003470-1A_223JWCLT4_L2.lib2_1	8.462741931476302	43.0	150.0	150	18.181818181818183	405254.0
AD26_EKDL240003470-1A_223JWCLT4_L2.lib2_2	9.536555304099323	44.0	150.0	150	18.181818181818183	405254.0
AD26_EKDL240003470-1A_22JVFTLT3_L1.lib1_1	6.812858802263094	43.0	150.0	150	18.181818181818183	5652856.0
AD26_EKDL240003470-1A_22JVFTLT3_L1.lib1_2	7.750820999033579	44.0	150.0	150	18.181818181818183	5652856.0
AD27_EKDL240003470-1A_223JWCLT4_L2.lib2_1	7.532689155237975	42.0	150.0	150	18.181818181818183	943623.0
AD27_EKDL240003470-1A_223JWCLT4_L2.lib2_2	8.194123232270599	42.0	150.0	150	18.181818181818183	943623.0
AD27_EKDL240003470-1A_22JVFTLT3_L1.lib1_1	8.657860171098818	42.0	150.0	150	18.181818181818183	14630916.0
AD27_EKDL240003470-1A_22JVFTLT3_L1.lib1_2	9.157006726395664	43.0	150.0	150	18.181818181818183	14630916.0
AD28_EKDL240003470-1A_223JWCLT4_L2.lib2_1	9.285863754943975	42.0	150.0	150	18.181818181818183	646438.0
AD28_EKDL240003470-1A_223JWCLT4_L2.lib2_2	10.204437856733378	43.0	150.0	150	18.181818181818183	646438.0
AD28_EKDL240003470-1A_22JVFTLT3_L1.lib1_1	9.00623482573242	42.0	150.0	150	18.181818181818183	8984618.0
AD28_EKDL240003470-1A_22JVFTLT3_L1.lib1_2	9.959744853355375	43.0	150.0	150	18.181818181818183	8984618.0
AD29_EKDL230051108-1A_22FN5HLT3_L1.lib1_1	11.49847979522481	43.0	150.0	150	9.090909090909092	10576467.0
AD29_EKDL230051108-1A_22FN5HLT3_L1.lib1_2	11.937863151232449	44.0	150.0	150	9.090909090909092	10576467.0
AD30_EKDL240003470-1A_223JWCLT4_L2.lib2_1	8.299366135200074	43.0	150.0	150	18.181818181818183	1033619.0
AD30_EKDL240003470-1A_223JWCLT4_L2.lib2_2	9.475585262863987	43.0	150.0	150	18.181818181818183	1033619.0
AD30_EKDL240003470-1A_22JVFTLT3_L1.lib1_1	8.867838986990634	43.0	150.0	150	18.181818181818183	15511035.0
AD30_EKDL240003470-1A_22JVFTLT3_L1.lib1_2	9.875503734749202	43.0	150.0	150	18.181818181818183	15511035.0
AD31_EKDL240003470-1A_223JWCLT4_L2.lib2_1	9.078196388002567	43.0	150.0	150	18.181818181818183	829032.0
AD31_EKDL240003470-1A_223JWCLT4_L2.lib2_2	9.927225545105983	43.0	150.0	150	18.181818181818183	829032.0
AD31_EKDL240003470-1A_22JVFTLT3_L1.lib1_1	8.542889373872342	43.0	150.0	150	18.181818181818183	12557445.0
AD31_EKDL240003470-1A_22JVFTLT3_L1.lib1_2	9.209973019032063	43.0	150.0	150	18.181818181818183	12557445.0
AD32_EKDL240003470-1A_223JWCLT4_L2.lib2_1	7.8905848522501145	42.0	150.0	150	18.181818181818183	688843.0
AD32_EKDL240003470-1A_223JWCLT4_L2.lib2_2	8.555764711194257	42.0	150.0	150	18.181818181818183	688843.0
AD32_EKDL240003470-1A_22JVFTLT3_L1.lib1_1	8.081711744867633	42.0	150.0	150	18.181818181818183	10083835.0
AD32_EKDL240003470-1A_22JVFTLT3_L1.lib1_2	8.685473096467348	42.0	150.0	150	18.181818181818183	10083835.0
AD33_EKDL230051108-1A_22FN5HLT3_L1.lib1_1	56.35755428508134	44.0	150.0	150	9.090909090909092	20714809.0
AD33_EKDL230051108-1A_22FN5HLT3_L1.lib1_2	56.82190404169014	44.0	150.0	150	9.090909090909092	20714809.0
AD34_EKDL230051108-1A_22FN5HLT3_L1.lib1_1	47.53452987011975	42.0	150.0	150	9.090909090909092	15423641.0
AD34_EKDL230051108-1A_22FN5HLT3_L1.lib1_2	48.07656565451393	43.0	150.0	150	9.090909090909092	15423641.0
AD36_EKDL230051108-1A_22FN5HLT3_L1.lib1_1	8.4734339131751	43.0	150.0	150	9.090909090909092	16126995.0
AD36_EKDL230051108-1A_22FN5HLT3_L1.lib1_2	9.085678004672431	43.0	150.0	150	9.090909090909092	16126995.0
AD37_EKDL240003470-1A_223JWCLT4_L2.lib2_1	9.46357955689217	44.0	150.0	150	18.181818181818183	409221.0
AD37_EKDL240003470-1A_223JWCLT4_L2.lib2_2	10.293707008802173	44.0	150.0	150	18.181818181818183	409221.0
AD37_EKDL240003470-1A_22JVFTLT3_L1.lib1_1	8.434799394935922	44.0	150.0	150	18.181818181818183	5837517.0
AD37_EKDL240003470-1A_22JVFTLT3_L1.lib1_2	9.164416571476139	44.0	150.0	150	18.181818181818183	5837517.0
AD38_EKDL230051108-1A_22FN5HLT3_L1.lib1_1	25.128712130523965	45.0	150.0	150	9.090909090909092	18715800.0
AD38_EKDL230051108-1A_22FN5HLT3_L1.lib1_2	25.76387085191564	45.0	150.0	150	9.090909090909092	18715800.0
AD39_EKDL240003470-1A_223JWCLT4_L2.lib2_1	8.2723894427901	43.0	150.0	150	18.181818181818183	495928.0
AD39_EKDL240003470-1A_223JWCLT4_L2.lib2_2	9.383904716625892	43.0	150.0	150	18.181818181818183	495928.0
AD39_EKDL240003470-1A_22JVFTLT3_L1.lib1_1	5.3419960986772	43.0	150.0	150	18.181818181818183	7582429.0
AD39_EKDL240003470-1A_22JVFTLT3_L1.lib1_2	6.388185763647726	44.0	150.0	150	27.27272727272727	7582429.0
AD40_EKDL240003470-1A_223JWCLT4_L2.lib2_1	7.7781371732226745	43.0	150.0	150	18.181818181818183	1012233.0
AD40_EKDL240003470-1A_223JWCLT4_L2.lib2_2	8.43061154478471	44.0	150.0	150	18.181818181818183	1012233.0
AD40_EKDL240003470-1A_22JVFTLT3_L1.lib1_1	8.52616888452826	44.0	150.0	150	18.181818181818183	14659180.0
AD40_EKDL240003470-1A_22JVFTLT3_L1.lib1_2	9.337349780757279	44.0	150.0	150	18.181818181818183	14659180.0
AD41_EKDL240003470-1A_223JWCLT4_L2.lib2_1	8.237578255174412	43.0	150.0	150	18.181818181818183	355694.0
AD41_EKDL240003470-1A_223JWCLT4_L2.lib2_2	9.249051936888648	44.0	150.0	150	18.181818181818183	355694.0
AD41_EKDL240003470-1A_22JVFTLT3_L1.lib1_1	4.630305977386811	43.0	150.0	150	18.181818181818183	4661187.0
AD41_EKDL240003470-1A_22JVFTLT3_L1.lib1_2	5.6790467567604	44.0	150.0	150	27.27272727272727	4661187.0
AD42_EKDL240003470-1A_223JWCLT4_L2.lib2_1	8.319563828999605	44.0	150.0	150	18.181818181818183	929201.0
AD42_EKDL240003470-1A_223JWCLT4_L2.lib2_2	9.260958037992111	44.0	150.0	150	18.181818181818183	929201.0
AD42_EKDL240003470-1A_22JVFTLT3_L1.lib1_1	6.229635294439262	44.0	150.0	150	18.181818181818183	13105748.0
AD42_EKDL240003470-1A_22JVFTLT3_L1.lib1_2	7.178852657408015	44.0	150.0	150	18.181818181818183	13105748.0
AD43_EKDL240003470-1A_223JWCLT4_L2.lib2_1	8.04610850562527	43.0	150.0	150	18.181818181818183	389648.0
AD43_EKDL240003470-1A_223JWCLT4_L2.lib2_2	8.698099310858694	43.0	150.0	150	18.181818181818183	389648.0
AD43_EKDL240003470-1A_22JVFTLT3_L1.lib1_1	4.940949135058091	44.0	150.0	150	18.181818181818183	5725292.0
AD43_EKDL240003470-1A_22JVFTLT3_L1.lib1_2	5.694524671736829	44.0	150.0	150	18.181818181818183	5725292.0
AD44_EKDL230051108-1A_22FN5HLT3_L1.lib1_1	7.625758119480068	43.0	150.0	150	0.0	12036513.0
AD44_EKDL230051108-1A_22FN5HLT3_L1.lib1_2	8.458325379114015	43.0	150.0	150	0.0	12036513.0
AD46_EKDL230051108-1A_22FN5HLT3_L1.lib1_1	13.12009287734061	44.0	150.0	150	9.090909090909092	14711540.0
AD46_EKDL230051108-1A_22FN5HLT3_L1.lib1_2	14.207375750847348	45.0	150.0	150	18.181818181818183	14711540.0
AD47_EKDL230051108-1A_22FN5HLT3_L1.lib1_1	9.117255798751216	44.0	150.0	150	0.0	21211690.0
AD47_EKDL230051108-1A_22FN5HLT3_L1.lib1_2	9.998390491189966	44.0	150.0	150	0.0	21211690.0
AD49_EKDL230051108-1A_22FN5HLT3_L1.lib1_1	7.381176496914833	43.0	150.0	150	0.0	12166616.0
AD49_EKDL230051108-1A_22FN5HLT3_L1.lib1_2	8.31062613674905	44.0	150.0	150	0.0	12166616.0
AD50_EKDL230051108-1A_22FN5HLT3_L1.lib1_1	7.072791956970789	44.0	150.0	150	0.0	12886793.0
AD50_EKDL230051108-1A_22FN5HLT3_L1.lib1_2	7.86146597608473	44.0	150.0	150	0.0	12886793.0
AD51_EKDL230051108-1A_22FN5HLT3_L1.lib1_1	6.350093949860508	44.0	150.0	150	0.0	6078017.0
